IP/Mask,202407021351,202407021351,202407021351,202407021351,
10.126.219.100,16741,15872,17076,16243
10.126.219.11,29193,29260,29293,28956
10.126.219.130,49186,50217,49202,49384
10.126.219.131,42940,41635,43084,43119
10.126.219.133,37798,38763,38960,37524
10.126.219.134,33988,33209,32622,33668
10.126.219.135,31426,30560,31740,31518
10.126.219.162,32042,31293,32141,31361
10.126.219.163,35352,35514,36355,35545
10.126.219.164,17834,18552,18221,18360
10.126.219.194,209,180,224,202
10.126.219.197,31803,30849,31616,32614
10.126.219.198,30839,29422,30880,29201
10.126.219.199,40025,39934,40696,39387
10.126.219.2,30286,32046,31584,31473
10.126.219.210,228,167,190,173
10.126.219.213,37589,39055,37297,36138
10.126.219.214,43778,44053,45220,44195
10.126.219.217,23379,22407,21809,21954
10.126.219.219,23168,22980,23060,23647
10.126.219.226,233,417,127,234
10.126.219.229,46010,43643,44418,45484
10.126.219.230,59055,60286,58623,57510
10.126.219.231,44065,43195,43380,42809
10.126.219.242,24344,24222,24968,24413
10.126.219.245,13545,13177,13536,13680
10.126.219.3,40849,41212,41188,41583
10.126.219.34,43643,41372,40549,39857
10.126.219.35,32183,31539,31705,32498
10.126.219.36,41,128,64,63
10.126.219.37,42119,41969,42373,41878
10.126.219.4,55693,54688,54319,56151
10.126.219.5,0,0,0,2
10.126.219.51,20375,21487,20513,21693
10.126.219.66,187,152,237,124
10.126.219.67,48605,47853,48282,47136
10.126.219.68,49436,49331,49137,49595
10.126.219.73,41112,39996,42470,41161
10.126.219.98,29764,30980,31139,31412
10.126.219.99,33720,32857,32909,33443
10.126.220.114,550,612,545,642
10.126.220.117,34404,32792,33491,33531
10.126.220.118,35319,34971,33824,33908
10.126.220.119,32828,32386,34067,32154
10.126.220.130,343,426,355,349
10.126.220.131,54281,53757,54207,53353
10.126.220.135,31977,31221,31349,32109
10.126.220.146,50598,51788,50185,50299
10.126.220.147,34358,33746,33133,35142
10.126.220.151,23101,22836,22227,22944
10.126.220.162,0,0,0,0
10.126.220.165,26138,26386,26355,25449
10.126.220.166,25299,25762,25782,26257
10.126.220.178,0,0,0,0
10.126.220.18,19546,19520,20001,20488
10.126.220.181,30892,30661,29926,29481
10.126.220.194,36400,37683,36386,37234
10.126.220.195,30769,29505,29700,29957
10.126.220.2,22065,24232,24117,23395
10.126.220.21,42447,40972,40268,41521
10.126.220.210,25732,24802,24559,25765
10.126.220.211,25836,25355,23980,24525
10.126.220.212,37562,36866,36628,37384
10.126.220.22,16020,16272,15496,16161
10.126.220.34,148,182,124,343
10.126.220.37,28921,29149,28951,29194
10.126.220.5,15593,14036,14180,14577
10.126.220.50,14234,15284,14206,14155
10.126.220.53,24898,26121,26472,27064
10.126.220.66,37357,37141,37028,37609
10.126.220.69,24169,24755,25615,25419
10.126.220.70,24384,25085,24028,25639
10.126.220.82,30917,30281,29814,30210
10.126.220.85,35011,34351,35123,36451
10.126.220.98,31176,30403,31157,31529
10.126.220.99,17082,17231,17597,17784
